epoch,learning_rate,step,train_loss_epoch,train_loss_step,val_loss
0,,2,,,0.9717910289764404
0,0.0010000000474974513,2,0.9445573687553406,,
1,,5,,,0.8674929141998291
1,0.0010000000474974513,5,0.38058388233184814,,
2,,8,,,0.6580638885498047
2,0.0010000000474974513,8,0.3395790457725525,,
3,,11,,,0.5532327890396118
3,0.0010000000474974513,11,0.3224432170391083,,
4,,14,,,0.4225947856903076
4,0.0010000000474974513,14,0.31697288155555725,,
5,,17,,,0.36849719285964966
5,0.0010000000474974513,17,0.3134457767009735,,
6,,20,,,0.36151066422462463
6,0.0010000000474974513,20,0.3088213801383972,,
7,,23,,,0.36279425024986267
7,0.0010000000474974513,23,0.30724892020225525,,
8,,26,,,0.34678858518600464
8,0.0010000000474974513,26,0.307302862405777,,
9,,29,,,0.33041101694107056
9,0.0010000000474974513,29,0.31099388003349304,,
10,,32,,,0.32926180958747864
10,0.0010000000474974513,32,0.30313029885292053,,
11,,35,,,0.32354897260665894
11,0.0010000000474974513,35,0.30760458111763,,
12,,38,,,0.3071269989013672
12,0.0010000000474974513,38,0.30593860149383545,,
13,,41,,,0.3072020709514618
13,0.0010000000474974513,41,0.3087841272354126,,
14,,44,,,0.3045281171798706
14,0.0010000000474974513,44,0.30616623163223267,,
15,,47,,,0.3053598999977112
15,0.0010000000474974513,47,0.30587199330329895,,
16,,49,,0.30754542350769043,
16,,50,,,0.30532577633857727
16,0.0010000000474974513,50,0.3103558123111725,,
17,,53,,,0.3073217570781708
17,0.0010000000474974513,53,0.3040297329425812,,
18,,56,,,0.3054329752922058
18,0.0010000000474974513,56,0.30383625626564026,,
19,,59,,,0.30234140157699585
19,0.0010000000474974513,59,0.30878403782844543,,
20,,62,,,0.3042789697647095
20,0.0010000000474974513,62,0.2998943328857422,,
21,,65,,,0.30552950501441956
21,0.0010000000474974513,65,0.3083643615245819,,
22,,68,,,0.3031201958656311
22,0.0010000000474974513,68,0.30807334184646606,,
23,,71,,,0.3039644658565521
23,0.0010000000474974513,71,0.30256325006484985,,
24,,74,,,0.30126872658729553
24,0.0010000000474974513,74,0.30747151374816895,,
25,,77,,,0.3039693832397461
25,0.0010000000474974513,77,0.3063327968120575,,
26,,80,,,0.3051993250846863
26,0.0010000000474974513,80,0.3035627007484436,,
27,,83,,,0.3026212453842163
27,0.0010000000474974513,83,0.3045172393321991,,
28,,86,,,0.3022534251213074
28,0.0010000000474974513,86,0.30582135915756226,,
29,,89,,,0.305079847574234
29,0.0010000000474974513,89,0.3067840039730072,,
30,,92,,,0.3028615713119507
30,0.0010000000474974513,92,0.30183863639831543,,
31,,95,,,0.30379074811935425
31,0.0010000000474974513,95,0.31069907546043396,,
32,,98,,,0.3055846691131592
32,0.0010000000474974513,98,0.3078277111053467,,
33,,99,,0.3049061894416809,
33,,101,,,0.30397388339042664
33,0.0010000000474974513,101,0.30209484696388245,,
34,,104,,,0.30694276094436646
34,0.0010000000474974513,104,0.3041173815727234,,
35,,107,,,0.29972678422927856
35,0.0010000000474974513,107,0.3052871823310852,,
36,,110,,,0.30555909872055054
36,0.0010000000474974513,110,0.3026537597179413,,
37,,113,,,0.3023199141025543
37,0.0010000000474974513,113,0.3031250536441803,,
38,,116,,,0.3107696771621704
38,0.0010000000474974513,116,0.3034003674983978,,
39,,119,,,0.30542534589767456
39,0.0010000000474974513,119,0.3056889772415161,,
40,,122,,,0.3066977560520172
40,0.0010000000474974513,122,0.3069708049297333,,
41,,125,,,0.3021714985370636
41,0.0010000000474974513,125,0.3033680319786072,,
42,,128,,,0.3074278235435486
42,0.0010000000474974513,128,0.3052352964878082,,
43,,131,,,0.3067196011543274
43,0.0010000000474974513,131,0.30421048402786255,,
44,,134,,,0.3015889525413513
44,0.0010000000474974513,134,0.29822689294815063,,
45,,137,,,0.30005231499671936
45,0.0010000000474974513,137,0.3050183355808258,,
46,,140,,,0.3045010268688202
46,0.0010000000474974513,140,0.3098224103450775,,
47,,143,,,0.30459824204444885
47,9.999999747378752e-05,143,0.3019339144229889,,
48,,146,,,0.30321165919303894
48,9.999999747378752e-05,146,0.30384066700935364,,
49,,149,,0.3043004870414734,
49,,149,,,0.3001457154750824
49,9.999999747378752e-05,149,0.304478257894516,,
50,,152,,,0.30495205521583557
50,9.999999747378752e-05,152,0.30404648184776306,,
51,,155,,,0.3073630928993225
51,9.999999747378752e-05,155,0.3054847717285156,,
52,,158,,,0.30549508333206177
52,9.999999747378752e-05,158,0.3054339289665222,,
53,,161,,,0.30496707558631897
53,9.999999747378752e-05,161,0.3005315661430359,,
54,,164,,,0.3048720359802246
54,9.999999747378752e-05,164,0.3040206730365753,,
55,,167,,,0.30171504616737366
55,9.999999747378752e-05,167,0.30199870467185974,,
56,,170,,,0.3009440004825592
56,9.999999747378752e-05,170,0.30623093247413635,,
57,,173,,,0.29936546087265015
57,9.999999747378752e-05,173,0.3058449625968933,,
58,,176,,,0.30325451493263245
58,9.999999747378752e-05,176,0.3068315386772156,,
59,,179,,,0.3006213903427124
59,9.999999747378752e-05,179,0.3012755513191223,,
60,,182,,,0.30359965562820435
60,9.999999747378752e-05,182,0.3044889271259308,,
61,,185,,,0.30543434619903564
61,9.999999747378752e-05,185,0.3016918897628784,,
62,,188,,,0.3069322407245636
62,9.999999747378752e-05,188,0.3047872483730316,,
63,,191,,,0.30568817257881165
63,9.999999747378752e-05,191,0.3061772584915161,,
64,,194,,,0.2982335686683655
64,9.999999747378752e-05,194,0.3049449026584625,,
65,,197,,,0.30346667766571045
65,9.999999747378752e-05,197,0.30663055181503296,,
66,,199,,0.30190399289131165,
66,,200,,,0.3067307770252228
66,9.999999747378752e-05,200,0.3044586777687073,,
67,,203,,,0.3006509244441986
67,9.999999747378752e-05,203,0.30487433075904846,,
68,,206,,,0.3038369417190552
68,9.999999747378752e-05,206,0.30661657452583313,,
69,,209,,,0.3033309578895569
69,9.999999747378752e-05,209,0.300910085439682,,
70,,212,,,0.3053213357925415
70,9.999999747378752e-05,212,0.3026132881641388,,
71,,215,,,0.3131749927997589
71,9.999999747378752e-05,215,0.30316582322120667,,
72,,218,,,0.30634281039237976
72,9.999999747378752e-05,218,0.3051752746105194,,
73,,221,,,0.30131611227989197
73,9.999999747378752e-05,221,0.3000338673591614,,
74,,224,,,0.29949262738227844
74,9.999999747378752e-05,224,0.30036690831184387,,
75,,227,,,0.3006562292575836
75,9.999999747378752e-05,227,0.3012138605117798,,
76,,230,,,0.30597373843193054
76,9.999999747378752e-06,230,0.30433976650238037,,
77,,233,,,0.3100473880767822
77,9.999999747378752e-06,233,0.3001019060611725,,
78,,236,,,0.30490243434906006
78,9.999999747378752e-06,236,0.3018413484096527,,
79,,239,,,0.301895409822464
79,9.999999747378752e-06,239,0.3026714324951172,,
80,,242,,,0.30189085006713867
80,9.999999747378752e-06,242,0.30394262075424194,,
81,,245,,,0.30111950635910034
81,9.999999747378752e-06,245,0.3000001013278961,,
82,,248,,,0.3019844591617584
82,9.999999747378752e-06,248,0.3038247525691986,,
83,,249,,0.29753121733665466,
83,,251,,,0.3045821487903595
83,9.999999747378752e-06,251,0.29973676800727844,,
84,,254,,,0.305764764547348
84,9.999999747378752e-06,254,0.3033914566040039,,
85,,257,,,0.314860999584198
85,9.999999747378752e-06,257,0.3024953007698059,,
86,,260,,,0.2986501157283783
